,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[1013, 43, 309, 84]","[1001, 55, 296, 97]","[1000, 56, 320, 73]","[996, 60, 288, 105]","[988, 68, 297, 96]","[1006, 50, 312, 81]",[9997  563 3060  869],[9982  578 3052  877],[9997  563 3064  865],[9992  568 3067  862],[9983  577 3050  879]
1,rbf,0.1,1.0,,50,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
2,poly,0.1,1.0,2.0,50,"[584, 472, 218, 175]","[539, 517, 206, 187]","[558, 498, 216, 177]","[634, 422, 251, 142]","[660, 396, 263, 130]","[588, 468, 239, 154]",[5894 4666 2263 1666],[5760 4800 2165 1764],[5934 4626 2226 1703],[5784 4776 2156 1773],[5843 4717 2172 1757]
3,poly,0.1,1.0,3.0,50,"[771, 285, 252, 141]","[725, 331, 221, 172]","[686, 370, 235, 158]","[714, 342, 233, 160]","[770, 286, 246, 147]","[723, 333, 231, 162]",[7307 3253 2343 1586],[7145 3415 2328 1601],[7250 3310 2330 1599],[7246 3314 2346 1583],[7284 3276 2342 1587]
4,rbf,0.1,10.0,,50,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
5,poly,0.1,10.0,2.0,50,"[523, 533, 205, 188]","[515, 541, 194, 199]","[517, 539, 198, 195]","[557, 499, 224, 169]","[571, 485, 240, 153]","[548, 508, 227, 166]",[5329 5231 2096 1833],[5360 5200 2077 1852],[5307 5253 2033 1896],[5324 5236 2066 1863],[5333 5227 2088 1841]
6,poly,0.1,10.0,3.0,50,"[749, 307, 247, 146]","[739, 317, 223, 170]","[692, 364, 229, 164]","[706, 350, 235, 158]","[784, 272, 246, 147]","[728, 328, 242, 151]",[7307 3253 2349 1580],[7067 3493 2298 1631],[7241 3319 2322 1607],[7190 3370 2332 1597],[7244 3316 2327 1602]
7,linear,1.0,,,50,"[1014, 42, 308, 85]","[1000, 56, 295, 98]","[1000, 56, 320, 73]","[996, 60, 288, 105]","[988, 68, 297, 96]","[1006, 50, 312, 81]",[9995  565 3057  872],[9979  581 3051  878],[9994  566 3060  869],[9990  570 3062  867],[9983  577 3050  879]
8,rbf,1.0,1.0,,50,"[1053, 3, 391, 2]","[1046, 10, 385, 8]","[1050, 6, 388, 5]","[1049, 7, 386, 7]","[1053, 3, 389, 4]","[1053, 3, 389, 4]",[10509    51  3864    65],[10479    81  3860    69],[10499    61  3867    62],[10490    70  3856    73],[10489    71  3881    48]
9,poly,1.0,1.0,2.0,50,"[564, 492, 214, 179]","[506, 550, 199, 194]","[537, 519, 200, 193]","[528, 528, 231, 162]","[548, 508, 233, 160]","[525, 531, 218, 175]",[5398 5162 2129 1800],[5351 5209 2066 1863],[5316 5244 2082 1847],[5326 5234 2063 1866],[5381 5179 2070 1859]
10,poly,1.0,1.0,3.0,50,"[756, 300, 242, 151]","[729, 327, 213, 180]","[693, 363, 234, 159]","[724, 332, 239, 154]","[773, 283, 246, 147]","[710, 346, 230, 163]",[7354 3206 2351 1578],[7130 3430 2309 1620],[7197 3363 2337 1592],[7195 3365 2328 1601],[7281 3279 2343 1586]
11,rbf,1.0,10.0,,50,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1049, 7, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 392, 1]",[10520    40  3890    39],[10496    64  3885    44],[10513    47  3883    46],[10505    55  3882    47],[10504    56  3902    27]
12,poly,1.0,10.0,2.0,50,"[533, 523, 202, 191]","[467, 589, 187, 206]","[507, 549, 196, 197]","[553, 503, 226, 167]","[557, 499, 239, 154]","[557, 499, 228, 165]",[5302 5258 2086 1843],[5292 5268 2051 1878],[5195 5365 2047 1882],[5429 5131 2084 1845],[5401 5159 2093 1836]
13,poly,1.0,10.0,3.0,50,"[766, 290, 241, 152]","[733, 323, 218, 175]","[677, 379, 235, 158]","[722, 334, 233, 160]","[785, 271, 245, 148]","[722, 334, 234, 159]",[7314 3246 2327 1602],[7075 3485 2306 1623],[7215 3345 2339 1590],[7172 3388 2345 1584],[7293 3267 2310 1619]
14,linear,10.0,,,50,"[1015, 41, 307, 86]","[1000, 56, 295, 98]","[1000, 56, 321, 72]","[995, 61, 287, 106]","[987, 69, 296, 97]","[1006, 50, 312, 81]",[9996  564 3055  874],[9978  582 3052  877],[9999  561 3061  868],[9992  568 3061  868],[9984  576 3049  880]
15,rbf,10.0,1.0,,50,"[1045, 11, 386, 7]","[1031, 25, 376, 17]","[1022, 34, 381, 12]","[1037, 19, 379, 14]","[1048, 8, 386, 7]","[1038, 18, 380, 13]",[10377   183  3793   136],[10333   227  3766   163],[10362   198  3788   141],[10347   213  3760   169],[10375   185  3812   117]
16,poly,10.0,1.0,2.0,50,"[533, 523, 205, 188]","[511, 545, 198, 195]","[502, 554, 190, 203]","[558, 498, 235, 158]","[588, 468, 243, 150]","[533, 523, 221, 172]",[5369 5191 2120 1809],[5379 5181 2101 1828],[5350 5210 2090 1839],[5372 5188 2074 1855],[5321 5239 2078 1851]
17,poly,10.0,1.0,3.0,50,"[760, 296, 230, 163]","[741, 315, 224, 169]","[683, 373, 227, 166]","[724, 332, 231, 162]","[772, 284, 242, 151]","[721, 335, 226, 167]",[7367 3193 2315 1614],[7114 3446 2309 1620],[7229 3331 2342 1587],[7223 3337 2340 1589],[7297 3263 2325 1604]
18,rbf,10.0,10.0,,50,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1049, 7, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 392, 1]",[10520    40  3890    39],[10496    64  3885    44],[10513    47  3883    46],[10505    55  3882    47],[10504    56  3902    27]
19,poly,10.0,10.0,2.0,50,"[501, 555, 198, 195]","[480, 576, 180, 213]","[519, 537, 196, 197]","[559, 497, 218, 175]","[585, 471, 245, 148]","[525, 531, 216, 177]",[5303 5257 2073 1856],[5325 5235 2046 1883],[5370 5190 2072 1857],[5381 5179 2083 1846],[5321 5239 2056 1873]
20,poly,10.0,10.0,3.0,50,"[763, 293, 242, 151]","[740, 316, 223, 170]","[706, 350, 235, 158]","[714, 342, 234, 159]","[784, 272, 245, 148]","[726, 330, 239, 154]",[7348 3212 2334 1595],[7115 3445 2305 1624],[7201 3359 2347 1582],[7197 3363 2333 1596],[7294 3266 2314 1615]
21,linear,100.0,,,50,"[1016, 40, 315, 78]","[1012, 44, 313, 80]","[1002, 54, 323, 70]","[990, 66, 284, 109]","[988, 68, 305, 88]","[1007, 49, 309, 84]",[9997  563 3085  844],[9997  563 3098  831],[10013   547  3102   827],[9981  579 3062  867],[9999  561 3077  852]
22,rbf,100.0,1.0,,50,"[1045, 11, 386, 7]","[1031, 25, 376, 17]","[1022, 34, 381, 12]","[1037, 19, 379, 14]","[1048, 8, 386, 7]","[1038, 18, 380, 13]",[10377   183  3793   136],[10333   227  3766   163],[10362   198  3788   141],[10347   213  3760   169],[10375   185  3812   117]
23,poly,100.0,1.0,2.0,50,"[561, 495, 214, 179]","[502, 554, 194, 199]","[511, 545, 204, 189]","[539, 517, 223, 170]","[549, 507, 240, 153]","[536, 520, 218, 175]",[5341 5219 2130 1799],[5335 5225 2066 1863],[5304 5256 2055 1874],[5299 5261 2066 1863],[5356 5204 2097 1832]
24,poly,100.0,1.0,3.0,50,"[749, 307, 245, 148]","[725, 331, 222, 171]","[689, 367, 235, 158]","[717, 339, 230, 163]","[761, 295, 245, 148]","[726, 330, 234, 159]",[7280 3280 2337 1592],[7108 3452 2325 1604],[7225 3335 2353 1576],[7179 3381 2326 1603],[7268 3292 2334 1595]
25,rbf,100.0,10.0,,50,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1049, 7, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 392, 1]",[10520    40  3890    39],[10496    64  3885    44],[10513    47  3883    46],[10505    55  3882    47],[10504    56  3902    27]
26,poly,100.0,10.0,2.0,50,"[547, 509, 204, 189]","[524, 532, 188, 205]","[502, 554, 193, 200]","[558, 498, 226, 167]","[586, 470, 255, 138]","[527, 529, 231, 162]",[5434 5126 2141 1788],[5327 5233 2090 1839],[5339 5221 2077 1852],[5339 5221 2058 1871],[5373 5187 2062 1867]
27,poly,100.0,10.0,3.0,50,"[768, 288, 248, 145]","[741, 315, 225, 168]","[693, 363, 234, 159]","[709, 347, 233, 160]","[779, 277, 249, 144]","[720, 336, 228, 165]",[7340 3220 2342 1587],[7046 3514 2281 1648],[7222 3338 2354 1575],[7073 3487 2316 1613],[7257 3303 2334 1595]
28,linear,1000.0,,,50,"[1034, 22, 346, 47]","[992, 64, 298, 95]","[1006, 50, 330, 63]","[1003, 53, 301, 92]","[1023, 33, 327, 66]","[1013, 43, 310, 83]",[10036   524  3158   771],[10120   440  3281   648],[10041   519  3248   681],[9963  597 3104  825],[10070   490  3219   710]
29,rbf,1000.0,1.0,,50,"[1045, 11, 386, 7]","[1031, 25, 376, 17]","[1022, 34, 381, 12]","[1037, 19, 379, 14]","[1048, 8, 386, 7]","[1038, 18, 380, 13]",[10377   183  3793   136],[10333   227  3766   163],[10362   198  3788   141],[10347   213  3760   169],[10375   185  3812   117]
30,poly,1000.0,1.0,2.0,50,"[542, 514, 204, 189]","[524, 532, 199, 194]","[500, 556, 207, 186]","[579, 477, 225, 168]","[567, 489, 249, 144]","[552, 504, 218, 175]",[5407 5153 2112 1817],[5345 5215 2060 1869],[5371 5189 2060 1869],[5351 5209 2072 1857],[5366 5194 2075 1854]
31,poly,1000.0,1.0,3.0,50,"[772, 284, 245, 148]","[748, 308, 230, 163]","[681, 375, 230, 163]","[722, 334, 235, 158]","[762, 294, 243, 150]","[717, 339, 228, 165]",[7348 3212 2341 1588],[7119 3441 2294 1635],[7248 3312 2346 1583],[7206 3354 2350 1579],[7283 3277 2340 1589]
32,rbf,1000.0,10.0,,50,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1049, 7, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 392, 1]",[10520    40  3890    39],[10496    64  3885    44],[10513    47  3883    46],[10505    55  3882    47],[10504    56  3902    27]
33,poly,1000.0,10.0,2.0,50,"[544, 512, 205, 188]","[497, 559, 188, 205]","[542, 514, 210, 183]","[553, 503, 224, 169]","[583, 473, 244, 149]","[560, 496, 232, 161]",[5410 5150 2127 1802],[5300 5260 2078 1851],[5308 5252 2035 1894],[5304 5256 2056 1873],[5383 5177 2080 1849]
34,poly,1000.0,10.0,3.0,50,"[773, 283, 247, 146]","[733, 323, 231, 162]","[690, 366, 228, 165]","[630, 426, 203, 190]","[730, 326, 238, 155]","[707, 349, 231, 162]",[6917 3643 2208 1721],[6702 3858 2225 1704],[6857 3703 2274 1655],[6641 3919 2205 1724],[7208 3352 2311 1618]
