,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[990, 66, 323, 70]","[1055, 1, 393, 0]","[1009, 47, 300, 93]","[1003, 53, 313, 80]","[1001, 55, 305, 88]","[1005, 51, 306, 87]","[1002, 54, 326, 67]","[989, 67, 321, 72]","[999, 57, 317, 76]","[987, 69, 308, 84]"
1,rbf,0.1,1.0,,"[1010, 46, 341, 52]","[993, 63, 342, 51]","[1026, 30, 325, 68]","[1017, 39, 332, 61]","[1021, 35, 325, 68]","[1022, 34, 335, 58]","[1013, 43, 333, 60]","[1011, 45, 343, 50]","[1013, 43, 337, 56]","[1003, 53, 329, 63]"
2,poly,0.1,1.0,2.0,"[993, 63, 328, 65]","[1056, 0, 393, 0]","[1022, 34, 318, 75]","[1017, 39, 331, 62]","[1008, 48, 319, 74]","[1022, 34, 335, 58]","[1013, 43, 333, 60]","[988, 68, 322, 71]","[1014, 42, 338, 55]","[1005, 51, 330, 62]"
3,poly,0.1,1.0,3.0,"[1001, 55, 327, 66]","[1056, 0, 393, 0]","[1018, 38, 317, 76]","[1012, 44, 323, 70]","[1001, 55, 316, 77]","[1017, 39, 325, 68]","[1007, 49, 330, 63]","[998, 58, 338, 55]","[1012, 44, 336, 57]","[1000, 56, 323, 69]"
4,rbf,0.1,10.0,,"[1009, 47, 338, 55]","[994, 62, 342, 51]","[1020, 36, 326, 67]","[1016, 40, 332, 61]","[1023, 33, 327, 66]","[1022, 34, 335, 58]","[1007, 49, 331, 62]","[1000, 56, 340, 53]","[1015, 41, 338, 55]","[1007, 49, 331, 61]"
5,poly,0.1,10.0,2.0,"[998, 58, 327, 66]","[15, 1041, 13, 380]","[1017, 39, 315, 78]","[1017, 39, 329, 64]","[1007, 49, 319, 74]","[1019, 37, 324, 69]","[1002, 54, 327, 66]","[999, 57, 332, 61]","[1013, 43, 334, 59]","[1000, 56, 323, 69]"
6,poly,0.1,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
7,linear,1.0,,,"[990, 66, 323, 70]","[1055, 1, 393, 0]","[1009, 47, 300, 93]","[1003, 53, 313, 80]","[1001, 55, 305, 88]","[1005, 51, 306, 87]","[1002, 54, 326, 67]","[989, 67, 321, 72]","[999, 57, 317, 76]","[987, 69, 308, 84]"
8,rbf,1.0,1.0,,"[1001, 55, 328, 65]","[993, 63, 342, 51]","[1017, 39, 315, 78]","[1009, 47, 318, 75]","[1010, 46, 310, 83]","[1010, 46, 321, 72]","[1003, 53, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[994, 62, 315, 77]"
9,poly,1.0,1.0,2.0,"[988, 68, 323, 70]","[1056, 0, 393, 0]","[1020, 36, 317, 76]","[1005, 51, 319, 74]","[1007, 49, 318, 75]","[1019, 37, 325, 68]","[1007, 49, 331, 62]","[988, 68, 322, 71]","[1014, 42, 338, 55]","[1005, 51, 330, 62]"
10,poly,1.0,1.0,3.0,"[997, 59, 322, 71]","[1051, 5, 390, 3]","[1016, 40, 317, 76]","[1006, 50, 317, 76]","[1010, 46, 310, 83]","[1008, 48, 318, 75]","[1006, 50, 332, 61]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 314, 78]"
11,rbf,1.0,10.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1016, 40, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1006, 50, 330, 63]","[994, 62, 328, 65]","[1012, 44, 330, 63]","[993, 63, 314, 78]"
12,poly,1.0,10.0,2.0,"[978, 78, 321, 72]","[11, 1045, 5, 388]","[1004, 52, 303, 90]","[973, 83, 342, 51]","[1033, 23, 361, 32]","[959, 97, 264, 129]","[969, 87, 288, 105]","[991, 65, 325, 68]","[972, 84, 296, 97]","[996, 60, 314, 78]"
13,poly,1.0,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
14,linear,10.0,,,"[990, 66, 323, 70]","[1055, 1, 393, 0]","[1009, 47, 300, 93]","[1003, 53, 313, 80]","[1001, 55, 305, 88]","[1005, 51, 306, 87]","[1002, 54, 326, 67]","[989, 67, 321, 72]","[999, 57, 317, 76]","[987, 69, 308, 84]"
15,rbf,10.0,1.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1015, 41, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 314, 78]"
16,poly,10.0,1.0,2.0,"[999, 57, 329, 64]","[24, 1032, 9, 384]","[1014, 42, 313, 80]","[1017, 39, 329, 64]","[1007, 49, 319, 74]","[1019, 37, 321, 72]","[1004, 52, 330, 63]","[999, 57, 333, 60]","[1012, 44, 331, 62]","[1003, 53, 327, 65]"
17,poly,10.0,1.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
18,rbf,10.0,10.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1016, 40, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1006, 50, 330, 63]","[994, 62, 328, 65]","[1012, 44, 330, 63]","[993, 63, 314, 78]"
19,poly,10.0,10.0,2.0,"[967, 89, 342, 51]","[5, 1051, 3, 390]","[1009, 47, 362, 31]","[748, 308, 255, 138]","[940, 116, 253, 140]","[931, 125, 264, 129]","[964, 92, 294, 99]","[954, 102, 314, 79]","[992, 64, 316, 77]","[967, 89, 291, 101]"
20,poly,10.0,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
21,linear,100.0,,,"[990, 66, 323, 70]","[1055, 1, 393, 0]","[1009, 47, 300, 93]","[1003, 53, 313, 80]","[1001, 55, 305, 88]","[1005, 51, 306, 87]","[1002, 54, 326, 67]","[989, 67, 321, 72]","[999, 57, 317, 76]","[987, 69, 308, 84]"
22,rbf,100.0,1.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1015, 41, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 314, 78]"
23,poly,100.0,1.0,2.0,"[910, 146, 276, 117]","[10, 1046, 5, 388]","[966, 90, 249, 144]","[975, 81, 335, 58]","[982, 74, 282, 111]","[924, 132, 254, 139]","[963, 93, 289, 104]","[972, 84, 323, 70]","[1021, 35, 333, 60]","[955, 101, 285, 107]"
24,poly,100.0,1.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
25,rbf,100.0,10.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1016, 40, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1006, 50, 330, 63]","[994, 62, 328, 65]","[1012, 44, 330, 63]","[993, 63, 314, 78]"
26,poly,100.0,10.0,2.0,"[986, 70, 328, 65]","[1045, 11, 388, 5]","[984, 72, 265, 128]","[911, 145, 323, 70]","[972, 84, 299, 94]","[971, 85, 271, 122]","[966, 90, 310, 83]","[871, 185, 274, 119]","[966, 90, 312, 81]","[946, 110, 273, 119]"
27,poly,100.0,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1007, 49, 321, 72]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
28,linear,1000.0,,,"[550, 506, 137, 256]","[1056, 0, 393, 0]","[640, 416, 139, 254]","[382, 674, 85, 308]","[1007, 49, 318, 75]","[851, 205, 224, 169]","[352, 704, 70, 323]","[939, 117, 289, 104]","[920, 136, 262, 131]","[367, 689, 75, 317]"
29,rbf,1000.0,1.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1015, 41, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 314, 78]"
30,poly,1000.0,1.0,2.0,"[1002, 54, 339, 54]","[5, 1051, 3, 390]","[993, 63, 315, 78]","[816, 240, 241, 152]","[979, 77, 311, 82]","[919, 137, 280, 113]","[1015, 41, 334, 59]","[982, 74, 333, 60]","[920, 136, 296, 97]","[951, 105, 275, 117]"
31,poly,1000.0,1.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
32,rbf,1000.0,10.0,,"[996, 60, 322, 71]","[993, 63, 342, 51]","[1016, 40, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 309, 84]","[1006, 50, 330, 63]","[994, 62, 328, 65]","[1012, 44, 330, 63]","[993, 63, 314, 78]"
33,poly,1000.0,10.0,2.0,"[867, 189, 287, 106]","[1045, 11, 388, 5]","[983, 73, 266, 127]","[963, 93, 280, 113]","[1002, 54, 325, 68]","[919, 137, 280, 113]","[1014, 42, 337, 56]","[940, 116, 306, 87]","[985, 71, 304, 89]","[979, 77, 303, 89]"
34,poly,1000.0,10.0,3.0,"[996, 60, 322, 71]","[1051, 5, 390, 3]","[1014, 42, 315, 78]","[1005, 51, 318, 75]","[1010, 46, 310, 83]","[1006, 50, 308, 85]","[1004, 52, 328, 65]","[993, 63, 328, 65]","[1011, 45, 330, 63]","[993, 63, 313, 79]"
