,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]",[10036   524  3203   726],[9957  603 3088  841],[9972  588 3101  828],[10040   520  3212   717],[9954  606 3100  829]
1,rbf,0.1,1.0,,"[1025, 31, 337, 56]","[1020, 36, 323, 70]","[1013, 43, 349, 44]","[1018, 38, 320, 73]","[1015, 41, 351, 42]","[1018, 38, 330, 63]",[10122   438  3311   618],[10113   447  3273   656],[10153   407  3317   612],[10129   431  3342   587],[10112   448  3282   647]
2,poly,0.1,1.0,2.0,"[1024, 32, 338, 55]","[1014, 42, 319, 74]","[1010, 46, 347, 46]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1016, 40, 329, 64]",[10138   422  3335   594],[10042   518  3215   714],[10092   468  3258   671],[10138   422  3347   582],[10040   520  3223   706]
3,poly,0.1,1.0,3.0,"[1020, 36, 330, 63]","[1012, 44, 314, 79]","[1005, 51, 333, 60]","[1009, 47, 311, 82]","[1012, 44, 350, 43]","[1011, 45, 325, 68]",[10059   501  3239   690],[10039   521  3192   737],[10071   489  3213   716],[10122   438  3328   601],[10054   506  3212   717]
4,rbf,0.1,10.0,,"[1023, 33, 337, 56]","[1018, 38, 321, 72]","[1014, 42, 349, 44]","[1017, 39, 323, 70]","[1015, 41, 351, 42]","[1030, 26, 342, 51]",[10128   432  3334   595],[10109   451  3285   644],[10155   405  3332   597],[10113   447  3340   589],[10124   436  3311   618]
5,poly,0.1,10.0,2.0,"[1010, 46, 326, 67]","[1009, 47, 313, 80]","[1004, 52, 334, 59]","[1010, 46, 311, 82]","[623, 433, 161, 232]","[1006, 50, 322, 71]",[9612  948 3021  908],[10010   550  3178   751],[10059   501  3216   713],[9087 1473 2943  986],[9994  566 3205  724]
6,poly,0.1,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 331, 62]","[1003, 53, 300, 93]","[643, 413, 276, 117]","[1005, 51, 322, 71]",[9656  904 3129  800],[10008   552  3145   784],[10032   528  3165   764],[10083   477  3262   667],[10008   552  3154   775]
7,linear,1.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]",[10035   525  3202   727],[9957  603 3088  841],[9972  588 3101  828],[10040   520  3212   717],[9954  606 3100  829]
8,rbf,1.0,1.0,,"[1018, 38, 326, 67]","[1007, 49, 310, 83]","[1003, 53, 330, 63]","[1008, 48, 306, 87]","[1015, 41, 351, 42]","[1007, 49, 321, 72]",[10040   520  3212   717],[10020   540  3159   770],[10053   507  3177   752],[10041   519  3235   694],[10027   533  3162   767]
9,poly,1.0,1.0,2.0,"[1010, 46, 326, 67]","[1012, 44, 317, 76]","[1005, 51, 334, 59]","[1012, 44, 317, 76]","[1056, 0, 393, 0]","[1015, 41, 329, 64]",[10065   495  3285   644],[10023   537  3203   726],[10068   492  3230   699],[10109   451  3316   613],[10015   545  3205   724]
10,poly,1.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1004, 52, 332, 61]","[1003, 53, 302, 91]","[1051, 5, 392, 1]","[1005, 51, 321, 72]",[10070   490  3251   678],[10013   547  3162   767],[10042   518  3182   747],[10091   469  3278   651],[10013   547  3162   767]
11,rbf,1.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]",[10033   527  3207   722],[10021   539  3152   777],[10059   501  3182   747],[10031   529  3218   711],[10020   540  3156   773]
12,poly,1.0,10.0,2.0,"[924, 132, 288, 105]","[1011, 45, 344, 49]","[965, 91, 286, 107]","[986, 70, 289, 104]","[1048, 8, 391, 2]","[942, 114, 270, 123]",[9800  760 3104  825],[9723  837 2997  932],[9369 1191 2929 1000],[8886 1674 2819 1110],[9711  849 3052  877]
13,poly,1.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 331, 62]","[1003, 53, 300, 93]","[1051, 5, 392, 1]","[1000, 56, 321, 72]",[10057   503  3246   683],[10010   550  3150   779],[10033   527  3164   765],[10083   477  3262   667],[10007   553  3155   774]
14,linear,10.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]",[10035   525  3202   727],[9957  603 3088  841],[9972  588 3101  828],[10040   520  3212   717],[9954  606 3100  829]
15,rbf,10.0,1.0,,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 330, 63]","[1003, 53, 300, 93]","[1015, 41, 351, 42]","[1005, 51, 320, 73]",[10028   532  3203   726],[10016   544  3151   778],[10048   512  3177   752],[10026   534  3216   713],[10015   545  3155   774]
16,poly,10.0,1.0,2.0,"[1010, 46, 326, 67]","[1010, 46, 314, 79]","[1003, 53, 331, 62]","[1010, 46, 311, 82]","[1056, 0, 393, 0]","[1005, 51, 316, 77]",[10051   509  3256   673],[10008   552  3182   747],[10060   500  3218   711],[9098 1462 2941  988],[10032   528  3201   728]
17,poly,10.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[1051, 5, 392, 1]","[1004, 52, 321, 72]",[10062   498  3243   686],[10015   545  3154   775],[10036   524  3170   759],[10083   477  3262   667],[10006   554  3155   774]
18,rbf,10.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]",[10033   527  3207   722],[10021   539  3152   777],[10059   501  3182   747],[10031   529  3218   711],[10020   540  3156   773]
19,poly,10.0,10.0,2.0,"[945, 111, 330, 63]","[945, 111, 270, 123]","[967, 89, 305, 88]","[932, 124, 296, 97]","[1048, 8, 391, 2]","[942, 114, 270, 123]",[9611  949 3039  890],[9559 1001 2910 1019],[9172 1388 2809 1120],[8477 2083 2694 1235],[9729  831 3139  790]
20,poly,10.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[118, 938, 40, 353]","[1006, 50, 322, 71]",[9130 1430 2894 1035],[10009   551  3148   781],[10036   524  3173   756],[10083   477  3262   667],[10001   559  3151   778]
21,linear,100.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]",[10035   525  3202   727],[9957  603 3088  841],[9972  588 3101  828],[10040   520  3212   717],[9954  606 3100  829]
22,rbf,100.0,1.0,,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 330, 63]","[1003, 53, 300, 93]","[1015, 41, 351, 42]","[1005, 51, 320, 73]",[10028   532  3203   726],[10016   544  3151   778],[10048   512  3177   752],[10026   534  3216   713],[10015   545  3155   774]
23,poly,100.0,1.0,2.0,"[951, 105, 306, 87]","[978, 78, 299, 94]","[968, 88, 286, 107]","[986, 70, 289, 104]","[1048, 8, 391, 2]","[985, 71, 310, 83]",[9748  812 3091  838],[9791  769 3089  840],[9592  968 2936  993],[8678 1882 2631 1298],[9399 1161 2932  997]
24,poly,100.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[121, 935, 41, 352]","[997, 59, 321, 72]",[9123 1437 2893 1036],[10012   548  3150   779],[10034   526  3167   762],[10083   477  3262   667],[10006   554  3154   775]
25,rbf,100.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]",[10033   527  3207   722],[10021   539  3152   777],[10059   501  3182   747],[10031   529  3218   711],[10020   540  3156   773]
26,poly,100.0,10.0,2.0,"[999, 57, 318, 75]","[947, 109, 275, 118]","[812, 244, 277, 116]","[943, 113, 323, 70]","[1048, 8, 391, 2]","[890, 166, 290, 103]",[9404 1156 3072  857],[9716  844 2987  942],[9638  922 3034  895],[9618  942 3043  886],[9250 1310 2847 1082]
27,poly,100.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[41, 1015, 13, 380]","[1008, 48, 322, 71]",[9056 1504 2866 1063],[10009   551  3144   785],[10034   526  3167   762],[10085   475  3265   664],[10003   557  3152   777]
28,linear,1000.0,,,"[974, 82, 279, 114]","[698, 358, 176, 217]","[869, 187, 246, 147]","[458, 598, 116, 277]","[1056, 0, 393, 0]","[1052, 4, 390, 3]",[8886 1674 2705 1224],[8422 2138 2522 1407],[8733 1827 2570 1359],[7064 3496 1992 1937],[7630 2930 2271 1658]
29,rbf,1000.0,1.0,,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1003, 53, 330, 63]","[1003, 53, 300, 93]","[1015, 41, 351, 42]","[1005, 51, 320, 73]",[10028   532  3203   726],[10016   544  3151   778],[10048   512  3177   752],[10026   534  3216   713],[10015   545  3155   774]
30,poly,1000.0,1.0,2.0,"[1008, 48, 323, 70]","[947, 109, 275, 118]","[952, 104, 281, 112]","[907, 149, 228, 165]","[8, 1048, 2, 391]","[897, 159, 284, 109]",[8634 1926 2623 1306],[9538 1022 2987  942],[9548 1012 2905 1024],[8582 1978 2727 1202],[9637  923 3066  863]
31,poly,1000.0,1.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[481, 575, 174, 219]","[998, 58, 320, 73]",[9484 1076 3026  903],[10008   552  3145   784],[10033   527  3170   759],[10083   477  3262   667],[10007   553  3158   771]
32,rbf,1000.0,10.0,,"[1016, 40, 326, 67]","[1008, 48, 309, 84]","[1003, 53, 330, 63]","[1004, 52, 302, 91]","[1015, 41, 351, 42]","[1006, 50, 322, 71]",[10033   527  3207   722],[10021   539  3152   777],[10059   501  3182   747],[10031   529  3218   711],[10020   540  3156   773]
33,poly,1000.0,10.0,2.0,"[673, 383, 238, 155]","[945, 111, 270, 123]","[812, 244, 277, 116]","[907, 149, 228, 165]","[1048, 8, 391, 2]","[897, 159, 284, 109]",[9081 1479 2844 1085],[9673  887 3034  895],[9547 1013 2857 1072],[9697  863 3076  853],[9144 1416 2889 1040]
34,poly,1000.0,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 330, 63]","[1003, 53, 300, 93]","[41, 1015, 13, 380]","[995, 61, 317, 76]",[9042 1518 2861 1068],[10011   549  3145   784],[10036   524  3172   757],[10083   477  3262   667],[9995  565 3152  777]
